kategorie,betrag_chf,periode,altersgruppe,datentyp
50: Konsumausgaben,4657.16658281742,2020,Total,Altersklasse
51: Nahrungsmittel und alkoholfreie Getränke,664.674229820351,2020,Total,Altersklasse
511: Nahrungsmittel,608.632720056043,2020,Total,Altersklasse
5111: Brot und Getreideprodukte,98.3206002380051,2020,Total,Altersklasse
5111.01: Reis,2.72018192101248,2020,Total,Altersklasse
5111.02: Teigwaren,8.93103909571945,2020,Total,Altersklasse
5111.03: Brot,23.2054035160085,2020,Total,Altersklasse
"5111.04: Gebäck, süsses und salziges",44.40255456539,2020,Total,Altersklasse
5111.05: Sandwich,4.2702790337469,2020,Total,Altersklasse
5111.06: Weizenmehl,1.98733999249509,2020,Total,Altersklasse
"5111.07: Übrige Mehle, Stärken, Griesse, Flocken und Getreidekörner",2.14757273912302,2020,Total,Altersklasse
5111.08: Andere Produkte auf Getreidebasis,10.6562293745096,2020,Total,Altersklasse
5112: Fleisch,134.936581004845,2020,Total,Altersklasse
5112.01: Rindfleisch,24.6129262798457,2020,Total,Altersklasse
5112.02: Kalbfleisch,5.26561909659191,2020,Total,Altersklasse
"5112.03: Schweinefleisch, frisch oder tiefgekühlt",13.3801831242096,2020,Total,Altersklasse
5112.04: Pferdefleisch,0.710881489419504,2020,Total,Altersklasse
5112.05: Schaf- und Ziegenfleisch,4.81591761633642,2020,Total,Altersklasse
"5112.06: Geflügel, frisch oder tiefgekühlt",22.7339579290297,2020,Total,Altersklasse
5112.07: Wild und Kaninchenfleisch,1.42725787139145,2020,Total,Altersklasse
"5112.08: Andere geniessbare Fleischwaren inkl. Innereien, frisch und tiefgekühlt",10.457014260151,2020,Total,Altersklasse
"5112.09: Würste, Wurstwaren und Pasteten",26.9947064529288,2020,Total,Altersklasse
"5112.10: Schinken, Speck und übriges gesalzenes oder geräuchertes Schweinefleisch",16.944775237646,2020,Total,Altersklasse
"5112.11: Geflügel, grilliert oder geräuchert",1.20042214309009,2020,Total,Altersklasse
"5112.12: Übriges gekochtes, getrocknetes, gesalzenes oder geräuchertes Fleisch",5.70495514365562,2020,Total,Altersklasse
5112.13: Fleischkonserven und fleischhaltige Erzeugnisse,0.687964360549627,2020,Total,Altersklasse
5113: Fisch,25.3449608425308,2020,Total,Altersklasse
"5113.01: Fisch, frisch oder tiefgekühlt",13.5621401061795,2020,Total,Altersklasse
"5113.02: Meeresfrüchte, frisch oder tiefgekühlt",3.90940330582704,2020,Total,Altersklasse
"5113.03: Fische und Meeresfrüchte, getrocknet, gesalzen oder geräuchert",3.66788271310731,2020,Total,Altersklasse
"5113.04: Fische und Meeresfrüchte, zubereitet und tiefgekühlt",1.64424568140525,2020,Total,Altersklasse
5113.05: Fisch- und andere Konserven auf Basis von Fisch oder Meeresfrüchten,2.56128903601175,2020,Total,Altersklasse
"5114: Milch, Käse und Eier",99.7287960409567,2020,Total,Altersklasse
5114.01: Vollmilch,7.699069998586,2020,Total,Altersklasse
5114.02: Milchdrink und Magermilch,4.69490355941742,2020,Total,Altersklasse
5114.03: Hart- und Halbhartkäse,30.8948338818276,2020,Total,Altersklasse
"5114.04: Weich-, Frisch- und Schmelzkäse",16.2463785383912,2020,Total,Altersklasse
5114.05: Rahm,7.30947997548106,2020,Total,Altersklasse
5114.06: Quark,2.1627005006592,2020,Total,Altersklasse
5114.07: Joghurt,11.3676014649212,2020,Total,Altersklasse
5114.08: Andere Milchprodukte und Milch-Ersatzgetränke,7.28067799498352,2020,Total,Altersklasse
5114.09: Frische Eier,11.0752336782529,2020,Total,Altersklasse
5114.10: Verarbeitete Eier,0.997916448436472,2020,Total,Altersklasse
