kategorie,betrag_chf,periode,haushaltstyp,datentyp
50: Konsumausgaben,4657.16658281742,2020,Total,Haushaltstyp
51: Nahrungsmittel und alkoholfreie Getränke,664.674229820351,2020,Total,Haushaltstyp
511: Nahrungsmittel,608.632720056043,2020,Total,Haushaltstyp
5111: Brot und Getreideprodukte,98.3206002380051,2020,Total,Haushaltstyp
5111.01: Reis,2.72018192101248,2020,Total,Haushaltstyp
5111.02: Teigwaren,8.93103909571945,2020,Total,Haushaltstyp
5111.03: Brot,23.2054035160085,2020,Total,Haushaltstyp
"5111.04: Gebäck, süsses und salziges",44.40255456539,2020,Total,Haushaltstyp
5111.05: Sandwich,4.2702790337469,2020,Total,Haushaltstyp
5111.06: Weizenmehl,1.98733999249509,2020,Total,Haushaltstyp
"5111.07: Übrige Mehle, Stärken, Griesse, Flocken und Getreidekörner",2.14757273912302,2020,Total,Haushaltstyp
5111.08: Andere Produkte auf Getreidebasis,10.6562293745096,2020,Total,Haushaltstyp
5112: Fleisch,134.936581004845,2020,Total,Haushaltstyp
5112.01: Rindfleisch,24.6129262798457,2020,Total,Haushaltstyp
5112.02: Kalbfleisch,5.26561909659191,2020,Total,Haushaltstyp
"5112.03: Schweinefleisch, frisch oder tiefgekühlt",13.3801831242096,2020,Total,Haushaltstyp
5112.04: Pferdefleisch,0.710881489419504,2020,Total,Haushaltstyp
5112.05: Schaf- und Ziegenfleisch,4.81591761633642,2020,Total,Haushaltstyp
"5112.06: Geflügel, frisch oder tiefgekühlt",22.7339579290297,2020,Total,Haushaltstyp
5112.07: Wild und Kaninchenfleisch,1.42725787139145,2020,Total,Haushaltstyp
"5112.08: Andere geniessbare Fleischwaren inkl. Innereien, frisch und tiefgekühlt",10.457014260151,2020,Total,Haushaltstyp
"5112.09: Würste, Wurstwaren und Pasteten",26.9947064529288,2020,Total,Haushaltstyp
"5112.10: Schinken, Speck und übriges gesalzenes oder geräuchertes Schweinefleisch",16.944775237646,2020,Total,Haushaltstyp
"5112.11: Geflügel, grilliert oder geräuchert",1.20042214309009,2020,Total,Haushaltstyp
"5112.12: Übriges gekochtes, getrocknetes, gesalzenes oder geräuchertes Fleisch",5.70495514365562,2020,Total,Haushaltstyp
5112.13: Fleischkonserven und fleischhaltige Erzeugnisse,0.687964360549627,2020,Total,Haushaltstyp
5113: Fisch,25.3449608425308,2020,Total,Haushaltstyp
"5113.01: Fisch, frisch oder tiefgekühlt",13.5621401061795,2020,Total,Haushaltstyp
"5113.02: Meeresfrüchte, frisch oder tiefgekühlt",3.90940330582704,2020,Total,Haushaltstyp
"5113.03: Fische und Meeresfrüchte, getrocknet, gesalzen oder geräuchert",3.66788271310731,2020,Total,Haushaltstyp
"5113.04: Fische und Meeresfrüchte, zubereitet und tiefgekühlt",1.64424568140525,2020,Total,Haushaltstyp
5113.05: Fisch- und andere Konserven auf Basis von Fisch oder Meeresfrüchten,2.56128903601175,2020,Total,Haushaltstyp
"5114: Milch, Käse und Eier",99.7287960409567,2020,Total,Haushaltstyp
5114.01: Vollmilch,7.699069998586,2020,Total,Haushaltstyp
5114.02: Milchdrink und Magermilch,4.69490355941742,2020,Total,Haushaltstyp
5114.03: Hart- und Halbhartkäse,30.8948338818276,2020,Total,Haushaltstyp
"5114.04: Weich-, Frisch- und Schmelzkäse",16.2463785383912,2020,Total,Haushaltstyp
5114.05: Rahm,7.30947997548106,2020,Total,Haushaltstyp
5114.06: Quark,2.1627005006592,2020,Total,Haushaltstyp
5114.07: Joghurt,11.3676014649212,2020,Total,Haushaltstyp
5114.08: Andere Milchprodukte und Milch-Ersatzgetränke,7.28067799498352,2020,Total,Haushaltstyp
5114.09: Frische Eier,11.0752336782529,2020,Total,Haushaltstyp
5114.10: Verarbeitete Eier,0.997916448436472,2020,Total,Haushaltstyp
5115: Speisefette und -öle,16.0407464690777,2020,Total,Haushaltstyp
5115.01: Butter,8.1825492588684,2020,Total,Haushaltstyp
5115.02: Margarine,0.655379777935056,2020,Total,Haushaltstyp
5115.03: Andere Pflanzenfette,0.554219926310044,2020,Total,Haushaltstyp
5115.04: Olivenöl,4.04800312123413,2020,Total,Haushaltstyp
5115.05: Andere pflanzliche Speiseöle und tierische Speisefette,2.60059438473002,2020,Total,Haushaltstyp
5116: Früchte,63.0713559642927,2020,Total,Haushaltstyp
5116.01: Zitronen,1.89950215134019,2020,Total,Haushaltstyp
5116.02: Orangen und übrige Zitrusfrüchte,5.52518716830926,2020,Total,Haushaltstyp
5116.03: Bananen,4.04714530762783,2020,Total,Haushaltstyp
5116.04: Äpfel,6.67781144511537,2020,Total,Haushaltstyp
5116.05: Birnen und Quitten,1.70714654079335,2020,Total,Haushaltstyp
5116.06: Steinobst,8.52484732811579,2020,Total,Haushaltstyp
5116.07: Beeren,9.16375857841084,2020,Total,Haushaltstyp
5116.08: Trauben,2.18613280634718,2020,Total,Haushaltstyp
5116.09: Melonen und Wassermelonen,2.03133955057419,2020,Total,Haushaltstyp
5116.10: Übrige exotische Früchte,5.9134530971357,2020,Total,Haushaltstyp
"5116.11: Nüsse, andere Schalenfrüchte und ölhaltige Früchte",9.99105596557859,2020,Total,Haushaltstyp
5116.12: Anderes Dörrobst,3.4449973078899,2020,Total,Haushaltstyp
5116.13: Fruchtkonserven,1.95897871705446,2020,Total,Haushaltstyp
5117: Gemüse,84.1638818136549,2020,Total,Haushaltstyp
5117.01: Grüne Salate und anderes Blattgemüse,13.2402303677189,2020,Total,Haushaltstyp
"5117.02: Stengelgemüse (Lauch, Fenchel, Sojabohnensprossen, usw.)",3.07875436818855,2020,Total,Haushaltstyp
5117.03: Küchenkräuter,2.42929171409885,2020,Total,Haushaltstyp
5117.04: Kohlgemüse,3.97876330162331,2020,Total,Haushaltstyp
5117.05: Tomaten,8.08680502337969,2020,Total,Haushaltstyp
5117.06: Bohnen und Erbsen,2.29286799320638,2020,Total,Haushaltstyp
"5117.07: Anderes Fruchtgemüse (Kürbis, Peperoni, usw.)",10.0328394898214,2020,Total,Haushaltstyp
5117.08: Zwiebeln,2.41916422908002,2020,Total,Haushaltstyp
5117.09: Knoblauch,0.699598554527976,2020,Total,Haushaltstyp
5117.10: Rüben und anderes Wurzelgemüse,12.1385009154619,2020,Total,Haushaltstyp
5117.11: Frische Pilze,2.64498415862417,2020,Total,Haushaltstyp
"5117.12: Pilze und Gemüse, getrocknet oder gedörrt",1.77773875438233,2020,Total,Haushaltstyp
5117.13: Gemüse und Pilze in Konserven oder anders verarbeitet,6.91067385110131,2020,Total,Haushaltstyp
5117.14: Kartoffeln,4.9917346423587,2020,Total,Haushaltstyp
5117.15: Kartoffelhaltige Produkte und anderes Knollengemüse,9.44193445008141,2020,Total,Haushaltstyp
"5118: Zucker, Konfitüren, Honig, Schokolade und Süsswaren",39.1769194827402,2020,Total,Haushaltstyp
5118.01: Zucker,1.69450628835983,2020,Total,Haushaltstyp
"5118.02: Konfitüren, Marmeladen, Kompott",4.25829530635848,2020,Total,Haushaltstyp
5118.03: Honig,2.59703381031703,2020,Total,Haushaltstyp
5118.04: Schokolade,18.7866209413379,2020,Total,Haushaltstyp
5118.05: Süsswaren,4.24861412014237,2020,Total,Haushaltstyp
5118.06: Speiseeis,6.8426642693173,2020,Total,Haushaltstyp
5118.07: Andere zucker- und/oder kakaohaltige Produkte,0.7491847469072,2020,Total,Haushaltstyp
"5119: Saucen, Salz, Gewürze, Suppen und sonstige Nahrungsmittel",47.8488781999402,2020,Total,Haushaltstyp
"5119.01: Saucen, Würzstoffe und Würze",13.3185912460959,2020,Total,Haushaltstyp
5119.02: Salz und Gewürze,3.28383196930562,2020,Total,Haushaltstyp
5119.03: Suppen und Bouillons,3.23240928987189,2020,Total,Haushaltstyp
"5119.04: Aromaessenzen, Backpulver und Presshefe",0.802531160801008,2020,Total,Haushaltstyp
5119.05: Küchenfertige Mahlzeiten,14.4023776489511,2020,Total,Haushaltstyp
5119.06: Vegetarische Sojaprodukte,1.30619859221315,2020,Total,Haushaltstyp
5119.07: Sonstige Nahrungsmittel,9.88776758734116,2020,Total,Haushaltstyp
5119.08: Babynahrung,1.61517070536023,2020,Total,Haushaltstyp
512: Alkoholfreie Getränke,56.0415097643075,2020,Total,Haushaltstyp
"5121: Kaffee, Tee und Kakao",25.8163382598489,2020,Total,Haushaltstyp
5121.01: Bohnenkaffee und gemahlener Kaffee,20.1545012263139,2020,Total,Haushaltstyp
5121.02: Löslicher Pulverkaffee und Kaffeesurrogate,0.977236932565282,2020,Total,Haushaltstyp
"5121.03: Tee, Kräutertee und Surrogate",3.88565179916991,2020,Total,Haushaltstyp
5121.04: Kakaohaltige Getränke,0.798948301799783,2020,Total,Haushaltstyp
"5122: Mineralwasser, Limonaden und Säfte",30.2251715044586,2020,Total,Haushaltstyp
5122.01: Mineralwasser,6.46534712024742,2020,Total,Haushaltstyp
5122.02: Alkoholfreie Süssgetränke,12.8202044949345,2020,Total,Haushaltstyp
5122.03: Sirupe für Getränke,1.2489952827584,2020,Total,Haushaltstyp
5122.04: Fruchtsäfte,9.20674116895538,2020,Total,Haushaltstyp
5122.05: Gemüsesäfte,0.483883437562877,2020,Total,Haushaltstyp
52: Alkoholische Getränke und Tabakwaren,111.121334664589,2020,Total,Haushaltstyp
521: Alkoholische Getränke,78.0298742545442,2020,Total,Haushaltstyp
5211: Branntweine,8.66178460162986,2020,Total,Haushaltstyp
5211.01: Branntweine,6.38697093972923,2020,Total,Haushaltstyp
5211.02: Alkoholische und alkoholfreie Liköre und likörhaltige Aperitifs,2.27481366190062,2020,Total,Haushaltstyp
5212: Weine,55.8445339318095,2020,Total,Haushaltstyp
5212.01: Schweizer Rotweine und Rosés,6.45208513139869,2020,Total,Haushaltstyp
5212.02: Ausländische Rotweine und Rosés,21.2622024958271,2020,Total,Haushaltstyp
5212.03: Rotweine und Rosés ohne Herkunftsangabe,8.83750513169855,2020,Total,Haushaltstyp
5212.04: Schweizer Weissweine,5.54093119785129,2020,Total,Haushaltstyp
5212.05: Ausländische Weissweine,3.91186397937995,2020,Total,Haushaltstyp
5212.06: Weissweine ohne Herkunftsangabe,2.46235140340947,2020,Total,Haushaltstyp
5212.07: Schaumweine,5.46240160496033,2020,Total,Haushaltstyp
"5212.08: Auf Wein basierte Aperitifs, Apfelweine und Süssweine",1.19230789451966,2020,Total,Haushaltstyp
"5212.09: Alkoholfreie Weine, Apfelweine und Aperitifs",0.72288509276449,2020,Total,Haushaltstyp
5213: Bier,13.5235557211049,2020,Total,Haushaltstyp
5213.00: Alkoholhaltiges und alkoholfreies Bier,13.5235557211049,2020,Total,Haushaltstyp
522: Tabakwaren,33.0914604100451,2020,Total,Haushaltstyp
5220: Tabakwaren,33.0914604100451,2020,Total,Haushaltstyp
